FIPS,% Urban Population,Household Median Income,Median Age,2012 Vote Rate for Democrats,"% White, Non-Latino",% Professional Jobs,Total Population,% of Edits that Were Made by a Local Editor (English Wikipedia),% of Content that Was Contributed by a Local Editor (English Wikipedia),% of Users who are Local (English Wikipedia),% Human-generated (Manual) Content (English Wikipedia),% Human (Manual) Edits (English Wikipedia),Non-spatial Outlink Entropy (English Wikipedia),% of Articles that are C-class or Higher (English Wikipedia),% of Spatial Outlinks to Governmental Articles (English Wikipedia),Tag Entropy (OpenStreetMap),Page Count (English Wikipedia)
48485,89.3,45086,33.9,25.6,68.4,0.308,131500,0.404,0.521,0.185,0.931,0.875,9.172,0.065,0.078,6.85,46
48487,78.1,41658,38,24.4,63.4,0.273,13535,0.075,0.013,0.107,0.888,0.792,8.705,0.077,0.093,4.67,15
48489,65.4,25886,32.1,71.1,10.1,0.23,22134,0.206,0.358,0.094,0.65,0.56,8.35,0,0.31,5.99,20
48491,88.0,71803,34.2,37.9,63.8,0.451,422679,0.533,0.39,0.275,0.877,0.861,8.873,0.056,0.14,5.94,71
48493,14.1,64571,40,28,58.7,0.317,42918,0.25,0.128,0.164,0.89,0.891,8.906,0,0.122,4.82,27
48495,81.9,48992,34.7,22.8,42.5,0.22,7110,0.288,0.231,0.162,0.898,0.815,8.366,0.143,0.133,5.1,7
48497,27.9,56005,38.4,15.6,79.7,0.277,59127,0.289,0.155,0.167,0.714,0.718,8.342,0,0.236,6.48,31
48499,25.8,43649,47.5,17.4,84.9,0.281,41964,0.149,0.053,0.164,0.741,0.711,7.468,0,0.321,4.45,17
48501,62.7,49340,32.8,19.2,39.2,0.241,7879,0.395,0.184,0.118,0.786,0.728,7.189,0,0.167,6.8,5
48503,66.4,44429,41.8,13.6,80.6,0.244,18550,0.224,0.244,0.131,0.851,0.732,8.349,0,0.138,3.52,14
48505,76.5,31109,28.3,71.3,6.1,0.208,14018,0.306,0.074,0.112,0.682,0.606,7.294,0,0.274,5.39,14
48507,62.0,25625,30.8,83.3,5.5,0.273,11677,0.078,0.08,0.089,0.806,0.673,7.49,0.1,0.173,2.65,10
49001,43.5,46660,31.9,13.5,86,0.271,6629,0.201,0.145,0.075,0.926,0.72,7.637,0,0.046,3.49,38
49003,68.9,57292,30.6,10.1,88.3,0.312,49975,0.374,0.345,0.136,0.89,0.795,8.025,0.034,0.057,4.6,86
49005,84.3,49506,25.5,14.6,85.5,0.367,112656,0.505,0.449,0.238,0.863,0.822,8.246,0.069,0.076,4.33,88
49007,66.3,44724,34.4,30.5,84.1,0.266,21403,0.511,0.48,0.126,0.891,0.794,8.204,0.043,0.065,5.27,46
49009,0.0,46917,42.8,17.9,94.4,0.234,1059,0.315,0.35,0.058,0.921,0.746,7.796,0.167,0.057,2.01,12
49011,99.1,69707,29.2,18.1,85.8,0.407,306479,0.455,0.496,0.255,0.901,0.862,8.85,0.051,0.034,7.6,79
49013,31.8,57683,29.7,9.1,87.1,0.288,18607,0.38,0.362,0.134,0.845,0.748,8.4,0,0.044,3.13,38
49015,26.4,52763,32.8,12.9,92.1,0.252,10976,0.451,0.459,0.138,0.891,0.799,8.659,0,0.045,3.24,51
49017,0.0,45357,39,14.2,91.6,0.309,5172,0.283,0.455,0.103,0.914,0.771,8.205,0.062,0.05,2.1,64
49019,74.6,45888,39.9,44,84.1,0.267,9225,0.254,0.247,0.138,0.947,0.849,8.776,0.056,0.042,2.73,53
49021,77.4,42369,26.8,13.1,87.1,0.326,46163,0.433,0.251,0.202,0.911,0.848,8.81,0.037,0.062,4.2,53
49023,56.5,55247,29.3,11.2,94,0.258,10246,0.255,0.202,0.109,0.864,0.736,7.785,0.032,0.074,3.47,33
49025,45.1,48540,44.5,21.9,93.2,0.338,7125,0.317,0.263,0.132,0.904,0.806,8.064,0.022,0.039,1.8,45
49027,26.1,49238,33.7,8.6,84.7,0.242,12503,0.317,0.326,0.096,0.878,0.761,8.507,0.038,0.05,3.98,52
49029,37.2,80337,32,8.8,96.1,0.403,9469,0.362,0.424,0.134,0.903,0.766,7.149,0,0.102,3.77,13
49031,0.0,38500,40.5,9.5,91.2,0.385,1556,0.342,0.411,0.089,0.813,0.676,7.561,0.056,0.077,3.4,17
49033,0.0,50000,34.7,8.3,94.1,0.338,2264,0.184,0.233,0.071,0.806,0.703,7.694,0,0.062,2.67,14
49035,99.1,60555,30.8,38.8,74,0.366,1029655,0.618,0.735,0.304,0.96,0.892,8.824,0.066,0.024,9.3,489
49037,22.1,40492,29.9,40,43.9,0.326,14746,0.34,0.278,0.119,0.876,0.766,8.608,0.076,0.064,2.69,79
49039,59.1,48369,28.4,10.1,86.7,0.331,27822,0.339,0.32,0.209,0.832,0.763,7.75,0.039,0.064,4.32,50
49041,35.3,46229,32.8,9,92.9,0.277,20802,0.29,0.219,0.156,0.792,0.753,7.684,0.031,0.07,4.5,32
49043,60.8,83336,37.1,46.1,85.4,0.426,36324,0.34,0.311,0.204,0.902,0.819,8.546,0,0.072,3.33,69
49045,82.3,61412,29.6,23.1,84.5,0.334,58218,0.277,0.347,0.156,0.922,0.815,8.635,0.018,0.054,4.89,95
49047,53.2,62067,29.1,8.7,82.8,0.257,32588,0.461,0.309,0.118,0.861,0.796,9.117,0.05,0.066,3.78,42
49049,96.7,60196,24.6,9.8,84.2,0.398,516564,0.611,0.704,0.328,0.924,0.885,7.923,0.035,0.033,5.05,347
49051,73.1,65050,31.6,23,84.2,0.349,23530,0.271,0.274,0.126,0.871,0.743,8.153,0.029,0.081,3.24,35
49053,84.8,49279,32.5,15.6,85.6,0.314,138115,0.575,0.5,0.197,0.916,0.899,8.618,0.048,0.051,4.38,126
49055,0.0,41458,37.1,16.1,93.4,0.326,2778,0.288,0.315,0.094,0.906,0.76,8.659,0.03,0.063,1.79,32
49057,94.2,54974,30.7,25.8,78.1,0.313,231236,0.44,0.468,0.231,0.892,0.838,8.534,0.033,0.05,5.74,89
50001,21.6,57565,41.3,52.4,94.1,0.41,36821,0.567,0.519,0.239,0.833,0.829,8.126,0.023,0.057,3.38,86
50003,35.5,50221,45.1,60.4,95.7,0.361,37125,0.459,0.394,0.217,0.813,0.815,8.389,0.015,0.077,3.92,69
50005,25.6,45395,42.1,60.4,95.8,0.347,31227,0.568,0.562,0.24,0.837,0.792,8.132,0.098,0.071,3.61,51
50007,74.0,63989,36.2,71.8,91.3,0.463,156545,0.536,0.541,0.259,0.91,0.883,9.071,0.056,0.043,3.28,144
50009,0.0,35916,47.4,59.2,96.6,0.283,6306,0.309,0.182,0.089,0.747,0.647,8.202,0.027,0.193,2.32,33
50011,28.3,56240,39.6,66.2,94.9,0.343,47746,0.384,0.191,0.18,0.763,0.729,7.932,0,0.135,4.07,58
50013,0.0,59509,45.5,64.6,94.7,0.35,6970,0.042,0.018,0.061,0.823,0.691,7.555,0,0.159,3.71,21
50015,0.0,52686,39.7,57.7,95.7,0.38,24475,0.419,0.346,0.21,0.807,0.851,8.595,0.019,0.1,3.2,52
50017,2.8,52480,43.8,63.1,96.4,0.389,28936,0.475,0.386,0.188,0.77,0.753,7.901,0.054,0.149,3.15,50
50019,14.7,41953,43.7,64.6,96,0.303,27231,0.642,0.649,0.178,0.843,0.802,8.29,0.09,0.073,3.41,65
50021,39.0,49271,44.3,64,96.3,0.344,61642,0.53,0.371,0.199,0.819,0.807,8.183,0.03,0.138,4.09,99
50023,47.2,57281,42.3,63.6,94.9,0.428,59534,0.527,0.44,0.218,0.851,0.84,8.475,0.029,0.097,4.18,105
50025,31.8,50234,44.9,57.9,94.1,0.395,44513,0.489,0.4,0.249,0.836,0.825,8.119,0.063,0.099,3.62,94
50027,24.4,52460,45.8,59.6,95.5,0.402,56670,0.564,0.486,0.219,0.838,0.801,8.083,0.035,0.086,4.2,113
51001,0.0,39328,44.7,47.8,61.1,0.296,33164,0.43,0.458,0.119,0.851,0.698,7.97,0.02,0.157,4.17,189
51003,55.0,67725,38.2,55.3,77.9,0.535,98970,0.635,0.804,0.252,0.982,0.858,8.095,0.027,0.038,3.11,333
51005,47.6,44848,45.8,47.5,92.6,0.312,16250,0.294,0.138,0.092,0.847,0.719,7.641,0.036,0.189,2.1,58
51007,0.0,52885,42.7,36.1,72.8,0.262,12690,0.308,0.632,0.105,0.96,0.749,7.884,0.093,0.1,2.56,42
51009,36.3,44945,42,39.5,75.7,0.283,32353,0.538,0.713,0.19,0.929,0.846,7.749,0.044,0.167,2.72,46
51011,0.0,50167,42.8,31,76.7,0.287,14973,0.302,0.751,0.099,0.95,0.858,8.889,0.205,0.07,2.85,38
51013,100.0,103208,33.4,69.2,64,0.668,207627,0.479,0.694,0.213,0.976,0.93,8.83,0.246,0.025,6.28,166
51015,33.6,52027,42.9,28.1,92.2,0.3,73750,0.452,0.517,0.189,0.897,0.812,7.842,0.04,0.108,2.97,121
51017,0.0,51365,47.5,40.3,92.2,0.218,4731,0.233,0.387,0.103,0.955,0.742,7.717,0.036,0.033,1.42,57
51019,21.6,57596,44.3,26.8,90.3,0.343,68676,0.326,0.452,0.197,0.941,0.834,8.001,0.037,0.057,3.02,54
51021,0.0,42139,43.6,25,95.2,0.297,6824,0.329,0.235,0.078,0.946,0.823,8.613,0.048,0.083,1.74,21
51023,35.9,65935,44.9,29.9,94.2,0.381,33148,0.495,0.755,0.169,0.89,0.651,7.562,0.012,0.143,2.58,86
51025,24.5,36293,41.3,62.2,39.8,0.226,17434,0.5,0.405,0.093,0.843,0.635,7.706,0.036,0.299,2.69,85
51027,0.0,29848,43.8,32.1,96.3,0.238,24098,0.45,0.304,0.148,0.927,0.864,7.491,0.093,0.083,1.51,44
51029,0.0,38648,41.7,50.3,61.2,0.282,17146,0.397,0.391,0.14,0.909,0.706,7.885,0.042,0.17,2.17,66
51031,38.9,47162,41.1,29.6,81.3,0.318,54842,0.276,0.142,0.092,0.862,0.744,8.049,0.056,0.124,4.94,35
