RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
186,1.22258114,-0.577484669,-0.458550009,-0.773382832,-1.494076523,-0.596882401,-0.10658215,0.002324177,-0.199642325,-0.162553073,-0.397241448,-0.096142328,0.018812787,-1.203635464
187,0.602319514,-0.573659185,0.586591444,-0.841727331,-0.649607645,-0.570594655,0.040664955,0.235049493,-0.037774604,0.202070477,-0.065224195,0.300182384,0.189477773,-0.691965234
188,-0.639570471,0.521013866,0.699325803,-1.06290474,-0.23982516,0.447202537,0.224153799,0.369692354,0.202098341,0.373756546,0.339465336,0.651774209,0.326997026,0.795715295
189,0.583163077,-0.28551066,-0.531357616,-0.992029953,-0.572631929,-0.290435802,0.172003843,0.316796564,0.179646109,0.460851329,0.28923568,0.663410037,0.3740085,-0.286150575
190,0.655134679,1.070730768,0.896610932,-0.897919413,-0.058705829,2.08326727,0.844003996,0.928068951,0.933831035,1.297420784,0.984885436,1.068817082,0.872427789,0.673673125
191,-0.46540317,0.688386945,-0.709853685,-1.00906683,-0.511504155,-0.396317183,0.46845671,0.495807383,0.408651217,0.430159608,0.327903403,0.419821082,0.659085173,0.771572081
192,0.953201754,-0.449401534,0.269526059,-1.003340215,-1.165797736,-1.029644886,0.072561159,0.2141737,0.009036208,0.17379477,-0.167296667,0.129062389,0.210388171,-0.719687957
193,-1.011599126,0.828691336,1.180795462,-0.927862504,-0.223977218,0.167261632,0.165410769,0.066531713,0.229235086,0.073896411,0.057898377,0.331784255,0.279257877,0.967557418
194,0.73590779,-0.691792457,0.769784778,-1.06290474,-0.808087059,-0.656350487,0.087029649,0.124790372,0.127240824,0.249329933,-0.108817556,0.028501026,0.295189323,-0.579566413
195,-1.025174248,0.001342807,1.197235889,-0.893054877,-0.697151469,-0.323395947,0.351126554,0.658730313,0.333068289,0.83809639,0.494479447,0.706163558,0.585148914,1.039404853
196,-0.362822653,0.057545863,-0.547798044,0.001298494,1.236297383,-0.069178222,-0.753051275,-0.635739094,-0.873956213,-0.787282886,-1.151797544,-0.909191542,-0.637133335,-1.017125205
197,-0.866710454,1.604749317,-0.357558813,-0.17895125,0.962354396,0.152845519,-0.857925985,-0.73033616,-0.890978578,-0.748294153,-0.801783469,-0.718789696,-0.601041402,-0.425804783
198,1.12560098,0.472623255,-0.806147617,-0.093219652,1.32912104,2.101172958,-0.007540705,-0.059324749,0.109877693,0.170940884,0.567081041,0.356756047,0.114413106,0.11536887
199,0.505782816,0.522253369,-0.71455095,0.409192852,1.252145324,0.912171807,-0.640246434,-0.641014054,-0.5133651,-0.382928942,-0.587705528,-0.319217231,-0.270749974,-0.856408614
200,-0.975436473,0.190982628,-0.477339069,0.275148341,1.240825366,-0.275294581,-0.214168356,-0.230510549,-0.110917637,-0.066280861,-0.413426324,0.136255921,0.1850828,0.245176416
201,0.208713737,-0.34188021,-0.655835138,0.28887523,1.123097801,-0.173125737,-0.279939731,-0.263008336,-0.199404113,-0.059684775,-0.44463671,-0.070079644,0.008559787,-0.439831208
